State,Customer Lifetime Value,Response,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Cluster
Oregon,5285.307579,No,Basic,Bachelor,Employed,F,22627.0,Suburban,Married,67.0,19.0,43.0,0.0,8.0,Personal Auto,Personal L1,Offer2,Agent,321.6,Four-Door Car,Medsize,1
California,8024.992989,No,Basic,Master,Employed,F,38702.0,Rural,Married,101.0,7.0,32.0,0.0,3.0,Personal Auto,Personal L3,Offer1,Web,253.36433299999996,SUV,Large,3
California,2810.464447,Yes,Basic,Bachelor,Employed,M,26790.0,Suburban,Married,71.0,4.0,41.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Agent,340.8,Two-Door Car,Medsize,0
Arizona,7739.550403,No,Extended,Bachelor,Employed,F,64859.0,Urban,Married,96.0,24.0,11.0,0.0,8.0,Personal Auto,Personal L2,Offer3,Call Center,266.949266,Four-Door Car,Medsize,1
Washington,2175.740021,No,Basic,College,Unemployed,F,0.0,Suburban,Single,61.0,31.0,15.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Web,479.097472,Four-Door Car,Medsize,1
Nevada,3275.16199,No,Extended,High School or Below,Employed,F,69263.0,Suburban,Married,81.0,8.0,12.0,0.0,1.0,Personal Auto,Personal L3,Offer3,Agent,494.847804,Two-Door Car,Medsize,3
Oregon,2652.695343,No,Basic,Bachelor,Employed,M,82655.0,Suburban,Married,66.0,8.0,93.0,0.0,1.0,Personal Auto,Personal L2,Offer2,Web,316.8,Two-Door Car,Medsize,0
California,5048.226244,No,Basic,High School or Below,Employed,F,29401.000000000004,Suburban,Single,65.0,30.0,56.00000000000001,0.0,4.0,Personal Auto,Personal L3,Offer1,Branch,312.0,Four-Door Car,Small,1
Washington,5515.41017,No,Extended,Bachelor,Unemployed,M,0.0,Suburban,Divorced,79.0,5.0,62.0,0.0,7.0,Special Auto,Special L2,Offer2,Web,379.2,Four-Door Car,Small,2
Arizona,4858.429375,No,Basic,College,Employed,F,26480.0,Suburban,Divorced,63.0,13.0,17.0,0.0,3.0,Personal Auto,Personal L1,Offer2,Call Center,378.695238,Two-Door Car,Medsize,3
Oregon,2144.921535,No,Basic,High School or Below,Unemployed,F,0.0,Suburban,Single,61.0,34.0,35.0,0.0,1.0,Personal Auto,Personal L1,Offer2,Agent,292.8,Four-Door Car,Medsize,1
California,6042.618486,No,Extended,Bachelor,Unemployed,M,0.0,Suburban,Single,83.0,12.0,21.0,0.0,5.0,Personal Auto,Personal L1,Offer4,Web,904.385726,Two-Door Car,Medsize,0
Oregon,3387.203337,No,Extended,High School or Below,Employed,F,73268.0,Rural,Married,84.0,18.0,18.0,0.0,1.0,Personal Auto,Personal L3,Offer3,Agent,93.623377,Four-Door Car,Medsize,1
Oregon,10864.27491,No,Basic,Doctor,Employed,F,95579.0,Urban,Single,67.0,19.0,78.0,0.0,2.0,Personal Auto,Personal L1,Offer1,Agent,308.631159,Four-Door Car,Medsize,1
Oregon,8842.650024,No,Basic,Master,Employed,F,42142.0,Urban,Single,112.0,1.0,8.0,0.0,3.0,Personal Auto,Personal L3,Offer4,Branch,396.17554,Sports Car,Medsize,3
Washington,4389.279424,No,Basic,Bachelor,Employed,M,26676.0,Suburban,Married,112.0,7.0,96.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Agent,537.6,SUV,Large,0
California,16387.34622375,No,Basic,Bachelor,Employed,M,41279.0,Rural,Single,115.00000000000001,1.0,30.0,0.0,2.0,Personal Auto,Personal L3,Offer3,Agent,251.42998800000004,Sports Car,Medsize,0
Washington,16387.34622375,No,Premium,Bachelor,Disabled,M,15529.0,Suburban,Married,170.5,1.0,64.0,0.0,8.5,Personal Auto,Personal L3,Offer3,Branch,964.2628512499998,Luxury SUV,Small,2
Nevada,8591.305411,No,Extended,Bachelor,Unemployed,M,0.0,Suburban,Single,128.0,4.0,24.0,0.0,6.0,Corporate Auto,Corporate L2,Offer1,Branch,964.2628512499998,SUV,Medsize,0
Arizona,2646.573754,No,Basic,College,Disabled,F,23170.0,Suburban,Divorced,71.0,21.0,67.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Call Center,340.8,Four-Door Car,Medsize,1
Oregon,4607.244307,No,Basic,Bachelor,Disabled,F,17343.0,Urban,Single,63.0,9.0,92.0,0.0,5.0,Corporate Auto,Corporate L3,Offer2,Branch,208.659743,Two-Door Car,Medsize,3
Oregon,4860.62003,No,Basic,College,Medical Leave,M,25854.0,Suburban,Single,68.0,24.0,37.0,0.0,8.5,Personal Auto,Personal L3,Offer1,Branch,396.284835,Four-Door Car,Medsize,2
Oregon,2580.849899,Yes,Basic,College,Employed,M,46900.0,Suburban,Married,66.0,13.0,59.0,0.0,1.0,Corporate Auto,Corporate L1,Offer2,Web,316.8,Four-Door Car,Medsize,2
Washington,8646.504109,Yes,Basic,High School or Below,Employed,F,64125.00000000001,Urban,Married,108.0,3.0,44.0,0.0,3.0,Corporate Auto,Corporate L3,Offer2,Branch,369.818708,SUV,Large,3
California,8405.752991,No,Basic,High School or Below,Employed,M,85355.0,Suburban,Married,71.0,34.0,47.0,0.0,2.0,Personal Auto,Personal L2,Offer2,Call Center,458.568921,Two-Door Car,Small,0
Arizona,3096.511217,Yes,Extended,College,Employed,F,21604.0,Suburban,Divorced,79.0,14.0,28.000000000000004,0.0,1.0,Personal Auto,Personal L3,Offer1,Branch,379.2,Four-Door Car,Medsize,1
Arizona,16387.34622375,No,Basic,High School or Below,Unemployed,M,0.0,Suburban,Divorced,107.0,0.0,62.0,0.0,2.0,Personal Auto,Personal L3,Offer3,Agent,513.6,SUV,Medsize,0
Washington,5898.733666,No,Extended,Bachelor,Employed,F,53998.0,Suburban,Divorced,78.0,5.0,38.0,0.0,8.0,Personal Auto,Personal L3,Offer1,Call Center,414.519064,Four-Door Car,Medsize,1
California,16387.34622375,Yes,Basic,College,Unemployed,M,0.0,Suburban,Divorced,73.0,9.0,94.0,0.0,2.0,Personal Auto,Personal L1,Offer1,Agent,350.4,Two-Door Car,Medsize,0
Nevada,3218.608644,No,Extended,High School or Below,Employed,F,68776.0,Rural,Married,80.0,28.0,78.0,0.0,1.0,Personal Auto,Personal L3,Offer3,Call Center,87.861666,Four-Door Car,Medsize,1
Oregon,16387.34622375,No,Extended,High School or Below,Employed,F,45039.0,Rural,Married,96.0,26.999999999999996,94.0,0.0,2.0,Personal Auto,Personal L2,Offer1,Agent,192.144838,Four-Door Car,Large,1
Washington,8032.401911,No,Basic,Master,Employed,M,27658.0,Rural,Married,68.0,4.0,75.0,0.0,2.0,Personal Auto,Personal L2,Offer3,Call Center,160.07526,Four-Door Car,Medsize,2
Nevada,13918.5348,No,Premium,High School or Below,Employed,M,64113.0,Suburban,Divorced,116.99999999999999,24.0,32.0,0.0,2.0,Special Auto,Special L3,Offer1,Agent,561.6,Four-Door Car,Medsize,2
Arizona,8966.309774,No,Extended,High School or Below,Employed,M,41829.0,Suburban,Married,76.0,11.0,41.0,0.0,2.0,Personal Auto,Personal L2,Offer2,Call Center,416.365369,Two-Door Car,Medsize,0
California,11981.98481,Yes,Basic,Master,Retired,F,21514.0,Urban,Married,62.0,0.0,59.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,257.248789,Two-Door Car,Medsize,3
Nevada,5532.629846,No,Basic,Master,Employed,M,27722.0,Suburban,Divorced,69.0,3.0,28.999999999999996,0.0,8.5,Personal Auto,Personal L3,Offer3,Call Center,331.2,Four-Door Car,Medsize,2
Nevada,11660.57298,No,Premium,College,Employed,F,21506.0,Suburban,Divorced,151.0,11.0,42.0,0.0,4.0,Personal Auto,Personal L3,Offer2,Agent,826.658992,Sports Car,Medsize,3
Oregon,2886.451602,Yes,Extended,High School or Below,Retired,F,10312.0,Suburban,Married,78.0,10.0,63.00000000000001,0.0,1.0,Personal Auto,Personal L3,Offer2,Agent,486.2785569999999,Four-Door Car,Large,1
Arizona,12741.84754,Yes,Basic,Bachelor,Employed,F,73054.0,Urban,Married,106.0,34.0,36.0,0.0,2.0,Personal Auto,Personal L2,Offer1,Branch,419.365958,SUV,Medsize,3
Oregon,5398.098108,No,Basic,Bachelor,Employed,F,73775.0,Suburban,Divorced,67.0,14.0,51.00000000000001,0.0,3.0,Personal Auto,Personal L3,Offer2,Agent,321.6,Four-Door Car,Medsize,1
California,7285.030982999999,Yes,Basic,High School or Below,Employed,M,44788.0,Suburban,Married,61.0,6.0,48.0,0.0,2.0,Corporate Auto,Corporate L1,Offer2,Agent,386.031248,Four-Door Car,Small,2
Nevada,16387.34622375,No,Extended,High School or Below,Medical Leave,F,22510.0,Suburban,Single,95.0,19.0,48.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Web,456.0,Four-Door Car,Small,1
Arizona,16387.34622375,No,Extended,Master,Employed,M,54613.00000000001,Urban,Divorced,170.5,29.0,62.0,0.0,5.0,Personal Auto,Personal L3,Offer1,Call Center,731.559007,Luxury SUV,Medsize,2
Arizona,2491.257604,Yes,Basic,High School or Below,Medical Leave,F,25965.0,Suburban,Divorced,65.0,23.0,27.0,0.0,1.0,Personal Auto,Personal L2,Offer1,Agent,329.206567,Four-Door Car,Medsize,1
Oregon,4039.315002,No,Basic,College,Employed,F,34911.0,Rural,Divorced,105.0,6.0,31.0,0.0,1.0,Personal Auto,Personal L3,Offer4,Agent,126.779673,SUV,Large,1
Oregon,2619.337376,Yes,Basic,Bachelor,Employed,M,78618.0,Urban,Divorced,66.0,7.0,56.00000000000001,0.0,1.0,Special Auto,Special L3,Offer1,Agent,225.578841,Two-Door Car,Medsize,0
Oregon,5049.689638,No,Basic,High School or Below,Employed,F,61080.0,Urban,Single,66.0,7.0,41.0,0.0,8.5,Personal Auto,Personal L3,Offer1,Call Center,294.284951,Four-Door Car,Medsize,1
Oregon,4983.457132,No,Basic,Master,Employed,F,60415.00000000001,Rural,Divorced,62.0,10.0,31.0,0.0,5.0,Personal Auto,Personal L3,Offer2,Branch,72.665253,Two-Door Car,Small,3
California,2530.639412,No,Basic,Master,Medical Leave,F,25143.000000000004,Rural,Divorced,66.0,34.0,38.0,0.0,1.0,Corporate Auto,Corporate L2,Offer1,Branch,8.737111,Four-Door Car,Medsize,1
California,7396.719745999999,No,Basic,College,Employed,M,41045.0,Suburban,Single,64.0,9.0,28.000000000000004,0.0,2.0,Personal Auto,Personal L3,Offer2,Branch,394.582401,Four-Door Car,Medsize,2
California,3832.8985070000003,No,Extended,College,Employed,M,97729.0,Rural,Married,95.0,18.0,21.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Web,97.176153,Four-Door Car,Medsize,2
Arizona,4961.405917,No,Basic,High School or Below,Employed,F,55702.0,Rural,Married,61.0,13.0,55.0,0.0,6.0,Personal Auto,Personal L3,Offer1,Agent,151.13336,Four-Door Car,Medsize,1
California,3861.4862689999995,Yes,Extended,College,Employed,F,93272.0,Urban,Married,95.0,3.0,54.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Branch,281.110788,Four-Door Car,Medsize,1
California,16387.34622375,Yes,Basic,Bachelor,Retired,M,23665.0,Suburban,Married,67.0,19.0,50.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Branch,404.817249,Four-Door Car,Medsize,2
Oregon,10408.96865,Yes,Basic,High School or Below,Retired,M,20228.0,Suburban,Divorced,101.0,3.0,43.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Branch,523.815839,SUV,Medsize,0
Nevada,4834.710493,Yes,Basic,College,Employed,F,38713.0,Suburban,Divorced,66.0,31.0,69.0,0.0,6.0,Personal Auto,Personal L3,Offer2,Call Center,316.8,Four-Door Car,Medsize,1
Arizona,8257.666512,Yes,Basic,Bachelor,Disabled,F,23815.0,Suburban,Married,73.0,4.0,47.0,0.0,2.0,Personal Auto,Personal L3,Offer2,Call Center,424.330166,Four-Door Car,Medsize,1
Nevada,3052.629532,No,Extended,High School or Below,Unemployed,F,0.0,Suburban,Divorced,93.0,15.0,31.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Branch,446.4,Four-Door Car,Large,1
California,4012.3193459999998,No,Extended,High School or Below,Employed,F,47221.0,Suburban,Married,99.0,8.0,79.0,0.0,1.0,Personal Auto,Personal L2,Offer1,Agent,475.2,Two-Door Car,Large,3
Oregon,13355.48637,No,Basic,Bachelor,Employed,M,34495.0,Urban,Married,112.99999999999999,26.999999999999996,28.999999999999996,0.0,2.0,Personal Auto,Personal L3,Offer3,Branch,389.673944,SUV,Medsize,0
Oregon,2364.43161,No,Basic,College,Employed,M,46264.0,Urban,Single,62.0,17.0,75.0,0.0,1.0,Corporate Auto,Corporate L1,Offer4,Branch,199.37361,Four-Door Car,Medsize,2
Nevada,2489.337928,No,Basic,College,Employed,M,46051.0,Suburban,Married,63.0,16.0,34.0,0.0,1.0,Personal Auto,Personal L1,Offer3,Branch,302.4,Two-Door Car,Large,0
Nevada,4755.720009,No,Extended,Bachelor,Retired,F,23975.0,Suburban,Married,128.0,8.0,39.0,0.0,1.0,Corporate Auto,Corporate L3,Offer1,Agent,614.4,SUV,Small,3
California,13864.38495,No,Basic,College,Unemployed,F,0.0,Suburban,Single,74.0,4.0,12.0,0.0,2.0,Personal Auto,Personal L1,Offer1,Agent,580.886785,Four-Door Car,Large,1
Arizona,3020.424822,No,Basic,College,Employed,F,78561.0,Suburban,Married,74.0,7.0,50.0,0.0,1.0,Personal Auto,Personal L1,Offer1,Branch,355.2,Two-Door Car,Medsize,3
California,6285.305195,No,Extended,High School or Below,Unemployed,M,0.0,Suburban,Single,90.0,4.0,63.00000000000001,0.0,7.0,Personal Auto,Personal L3,Offer1,Agent,432.0,Two-Door Car,Medsize,0
California,2506.021971,No,Basic,High School or Below,Employed,F,61402.00000000001,Suburban,Married,63.0,14.0,56.00000000000001,0.0,1.0,Special Auto,Special L1,Offer1,Agent,302.4,Four-Door Car,Medsize,1
Arizona,2826.307641,No,Basic,Bachelor,Employed,M,65090.0,Rural,Married,71.0,28.0,3.0,0.0,1.0,Personal Auto,Personal L3,Offer3,Agent,73.995096,Four-Door Car,Medsize,2
Nevada,4369.71794,No,Premium,Master,Employed,M,88495.0,Suburban,Married,108.0,2.0,83.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Branch,535.926948,Two-Door Car,Medsize,0
Nevada,12174.58795,No,Basic,Bachelor,Employed,M,52797.0,Rural,Married,104.0,14.0,13.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,88.173438,Sports Car,Small,0
Nevada,3528.044252,Yes,Extended,Doctor,Employed,M,31278.0,Suburban,Married,92.0,24.0,95.0,0.0,1.0,Personal Auto,Personal L1,Offer1,Branch,441.6,Two-Door Car,Medsize,0
California,10436.57466,No,Extended,Bachelor,Medical Leave,F,24177.0,Suburban,Married,92.0,4.0,37.0,0.0,2.0,Personal Auto,Personal L2,Offer1,Agent,441.6,Four-Door Car,Medsize,1
Oregon,2746.121383,No,Basic,High School or Below,Employed,F,96339.0,Urban,Married,68.0,1.0,44.0,0.0,1.0,Corporate Auto,Corporate L1,Offer2,Branch,293.205349,Four-Door Car,Medsize,1
California,9175.171899,No,Premium,Bachelor,Employed,M,68164.0,Rural,Single,119.00000000000001,26.999999999999996,37.0,0.0,6.0,Personal Auto,Personal L3,Offer1,Agent,222.582872,Four-Door Car,Small,2
Washington,4979.079933,No,Basic,High School or Below,Unemployed,M,0.0,Suburban,Single,71.0,17.0,57.0,0.0,5.0,Personal Auto,Personal L1,Offer2,Agent,340.8,Two-Door Car,Medsize,0
Washington,2585.937023,No,Basic,Bachelor,Disabled,F,21603.0,Suburban,Married,68.0,11.0,46.0,0.0,1.0,Personal Auto,Personal L3,Offer4,Branch,326.4,Four-Door Car,Large,1
Oregon,9449.745947,No,Basic,College,Unemployed,F,0.0,Rural,Married,63.0,11.0,20.0,0.0,2.0,Special Auto,Special L2,Offer1,Branch,117.744416,Four-Door Car,Medsize,1
California,4568.819387,No,Basic,College,Unemployed,M,0.0,Suburban,Single,70.0,5.0,33.0,0.0,7.0,Personal Auto,Personal L3,Offer1,Branch,524.836298,Two-Door Car,Medsize,0
Oregon,2574.020376,Yes,Basic,Master,Employed,F,34990.0,Rural,Single,65.0,23.0,73.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Web,42.689135,Four-Door Car,Medsize,1
Arizona,8789.88406,No,Basic,Master,Employed,F,22849.0,Suburban,Married,109.0,5.0,75.0,0.0,4.0,Personal Auto,Personal L3,Offer1,Call Center,523.2,Sports Car,Medsize,3
Arizona,2507.407815,No,Basic,Doctor,Employed,M,32893.0,Urban,Married,63.0,13.0,14.000000000000002,0.0,1.0,Personal Auto,Personal L3,Offer3,Agent,174.086385,Four-Door Car,Medsize,2
Oregon,2522.41457,No,Basic,College,Unemployed,M,0.0,Suburban,Single,73.0,24.0,15.0,0.0,1.0,Corporate Auto,Corporate L3,Offer2,Branch,350.4,Two-Door Car,Medsize,0
Nevada,7542.713966999999,No,Basic,College,Unemployed,M,0.0,Suburban,Single,111.00000000000001,7.0,25.0,0.0,3.0,Personal Auto,Personal L2,Offer3,Branch,964.2628512499998,SUV,Medsize,0
Oregon,6005.214792,Yes,Extended,High School or Below,Employed,M,26876.0,Suburban,Single,76.0,17.0,72.0,0.0,8.0,Corporate Auto,Corporate L2,Offer1,Agent,364.8,Four-Door Car,Medsize,2
Nevada,16387.34622375,No,Basic,Bachelor,Employed,M,71663.0,Rural,Married,74.0,23.0,22.0,0.0,2.0,Corporate Auto,Corporate L3,Offer2,Web,84.494022,Four-Door Car,Medsize,2
California,2345.084479,No,Basic,College,Unemployed,M,0.0,Suburban,Single,69.0,1.0,56.00000000000001,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,331.2,Four-Door Car,Medsize,2
California,8783.165364,No,Basic,High School or Below,Disabled,F,16994.0,Suburban,Married,112.0,25.0,12.0,0.0,8.0,Personal Auto,Personal L3,Offer1,Call Center,806.4,SUV,Medsize,3
Oregon,4529.965388,No,Basic,Bachelor,Employed,M,64270.0,Rural,Single,116.99999999999999,12.0,57.99999999999999,0.0,1.0,Personal Auto,Personal L3,Offer2,Agent,46.104534,Sports Car,Small,0
Nevada,6033.222351,No,Extended,High School or Below,Unemployed,F,0.0,Suburban,Single,83.0,4.0,3.0,0.0,3.0,Corporate Auto,Corporate L2,Offer2,Call Center,597.6,Four-Door Car,Medsize,1
Oregon,5308.246978,No,Premium,Doctor,Unemployed,F,0.0,Rural,Single,145.0,29.0,70.0,0.0,1.0,Personal Auto,Personal L2,Offer2,Web,358.765757,SUV,Medsize,3
California,2674.730716,Yes,Basic,College,Employed,M,56342.0,Suburban,Single,69.0,12.0,89.0,0.0,1.0,Personal Auto,Personal L2,Offer2,Call Center,331.2,Four-Door Car,Small,2
California,4929.8075,No,Basic,High School or Below,Unemployed,F,0.0,Suburban,Single,70.0,25.0,21.0,0.0,6.0,Personal Auto,Personal L3,Offer4,Call Center,837.438442,Four-Door Car,Medsize,1
California,14131.12134,No,Basic,High School or Below,Employed,M,28327.0,Suburban,Single,170.5,29.0,26.0,0.0,3.0,Personal Auto,Personal L2,Offer4,Web,888.0,Luxury Car,Medsize,2
Oregon,2471.528431,Yes,Basic,High School or Below,Employed,M,95697.0,Rural,Married,61.0,16.0,55.0,0.0,1.0,Personal Auto,Personal L2,Offer2,Agent,114.273025,Two-Door Car,Medsize,0
Arizona,6005.214792,Yes,Extended,High School or Below,Employed,M,26876.0,Suburban,Single,76.0,17.0,72.0,0.0,8.0,Personal Auto,Personal L3,Offer1,Agent,364.8,Four-Door Car,Medsize,2
Washington,14082.63918,No,Premium,College,Unemployed,M,0.0,Suburban,Single,102.0,17.0,91.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,734.4,Four-Door Car,Large,2
Nevada,16387.34622375,No,Basic,Bachelor,Unemployed,F,0.0,Suburban,Single,61.0,31.0,43.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Branch,657.808231,Two-Door Car,Small,3
California,6631.665538,No,Extended,College,Employed,M,32918.0,Suburban,Married,84.0,33.0,69.0,0.0,3.0,Personal Auto,Personal L2,Offer3,Agent,403.2,Four-Door Car,Medsize,2
Oregon,7432.299921,No,Basic,High School or Below,Unemployed,F,0.0,Suburban,Single,71.0,4.0,76.0,0.0,2.0,Personal Auto,Personal L3,Offer2,Web,447.333545,Four-Door Car,Medsize,1
Nevada,2928.115104,No,Basic,High School or Below,Employed,M,63127.0,Rural,Married,74.0,35.0,17.0,0.0,1.0,Personal Auto,Personal L1,Offer4,Agent,174.292234,Two-Door Car,Large,0
California,16387.34622375,No,Extended,College,Employed,M,22022.0,Suburban,Single,136.0,35.0,1.0,0.0,2.0,Personal Auto,Personal L2,Offer2,Branch,964.2628512499998,SUV,Large,0
Oregon,16387.34622375,No,Extended,High School or Below,Employed,F,51725.0,Rural,Married,138.0,9.0,16.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,159.004261,SUV,Medsize,3
Washington,8609.158215,Yes,Basic,Bachelor,Employed,F,79090.0,Urban,Married,107.0,2.0,74.0,0.0,3.0,Personal Auto,Personal L1,Offer2,Branch,289.040734,SUV,Medsize,3
Oregon,10213.56338,No,Extended,College,Employed,F,39719.0,Suburban,Divorced,131.0,1.0,57.0,0.0,3.0,Personal Auto,Personal L3,Offer1,Agent,628.8,Sports Car,Medsize,3
Nevada,10049.28585,No,Extended,College,Employed,M,58193.99999999999,Suburban,Married,84.0,26.0,23.0,0.0,2.0,Personal Auto,Personal L3,Offer2,Web,450.996589,Four-Door Car,Small,2
Oregon,5746.148291,No,Basic,College,Employed,M,61990.00000000001,Rural,Married,72.0,21.0,47.0,0.0,8.5,Personal Auto,Personal L3,Offer1,Agent,48.884434,Four-Door Car,Medsize,2
Oregon,3746.7516250000003,Yes,Extended,College,Employed,F,41479.0,Rural,Married,94.0,14.0,38.0,0.0,1.0,Personal Auto,Personal L2,Offer2,Call Center,19.575683,Two-Door Car,Large,3
Oregon,7486.068405,No,Extended,Bachelor,Employed,F,97899.0,Rural,Divorced,95.0,29.0,73.0,0.0,7.0,Personal Auto,Personal L3,Offer1,Branch,3.772105,Four-Door Car,Medsize,1
Nevada,9120.065162,No,Basic,College,Employed,F,63878.00000000001,Urban,Married,112.99999999999999,32.0,47.0,0.0,8.5,Personal Auto,Personal L3,Offer3,Call Center,370.285349,SUV,Small,3
Oregon,5678.046711,No,Basic,High School or Below,Employed,F,68671.0,Rural,Married,70.0,30.0,49.0,0.0,6.0,Special Auto,Special L2,Offer2,Call Center,8.076879,Two-Door Car,Medsize,3
Nevada,7517.083811,No,Basic,Bachelor,Unemployed,F,0.0,Suburban,Single,102.0,19.0,13.0,0.0,3.0,Personal Auto,Personal L3,Offer1,Agent,964.2628512499998,SUV,Medsize,3
Oregon,4530.530663,No,Basic,College,Employed,M,34640.0,Urban,Married,116.99999999999999,23.0,54.0,0.0,1.0,Personal Auto,Personal L2,Offer1,Call Center,466.318191,Sports Car,Medsize,0
California,2691.380574,No,Basic,Bachelor,Retired,F,21959.0,Suburban,Married,71.0,0.0,69.0,0.0,1.0,Corporate Auto,Corporate L3,Offer4,Web,340.8,Four-Door Car,Small,1
Arizona,8068.623946000001,No,Basic,Bachelor,Employed,F,51584.0,Suburban,Divorced,69.0,11.0,98.0,0.0,2.0,Corporate Auto,Corporate L1,Offer1,Branch,368.919773,Two-Door Car,Small,3
Oregon,2478.576723,No,Basic,Bachelor,Employed,F,65744.0,Urban,Divorced,62.0,9.0,77.0,0.0,1.0,Corporate Auto,Corporate L3,Offer2,Call Center,166.507217,Four-Door Car,Medsize,1
Arizona,9112.041503,No,Basic,Bachelor,Disabled,F,25198.0,Suburban,Married,118.0,26.0,36.0,0.0,4.0,Personal Auto,Personal L3,Offer3,Call Center,566.4,SUV,Small,3
Arizona,2772.441318,No,Basic,Master,Employed,F,79663.0,Urban,Divorced,69.0,14.0,39.0,0.0,1.0,Personal Auto,Personal L2,Offer3,Branch,263.957201,Two-Door Car,Medsize,3
Arizona,4305.793209,No,Basic,Bachelor,Employed,F,31071.000000000004,Rural,Single,111.00000000000001,0.0,57.0,0.0,1.0,Personal Auto,Personal L2,Offer2,Call Center,215.23091,Sports Car,Small,3
California,5103.35758,No,Extended,Bachelor,Employed,F,39452.0,Urban,Divorced,131.0,6.0,54.0,0.0,1.0,Corporate Auto,Corporate L3,Offer1,Web,398.190882,SUV,Medsize,3
Oregon,4784.960513,No,Basic,Bachelor,Employed,F,25813.0,Urban,Divorced,61.0,16.0,97.0,0.0,8.0,Personal Auto,Personal L1,Offer3,Agent,205.332749,Four-Door Car,Medsize,1
Oregon,10541.10977,No,Extended,Doctor,Employed,F,59965.0,Suburban,Married,131.0,7.0,54.0,0.0,7.0,Personal Auto,Personal L2,Offer1,Branch,905.030448,SUV,Medsize,3
Washington,2179.425137,No,Basic,High School or Below,Unemployed,M,0.0,Suburban,Single,63.0,23.0,90.0,0.0,1.0,Personal Auto,Personal L3,Offer3,Branch,544.362598,Two-Door Car,Medsize,0
Nevada,7610.840476,No,Extended,College,Employed,F,98701.0,Rural,Married,94.0,22.0,66.0,0.0,3.0,Personal Auto,Personal L1,Offer1,Branch,79.615631,Four-Door Car,Small,1
Arizona,8510.525936,No,Extended,College,Unemployed,F,0.0,Suburban,Single,120.99999999999999,5.0,94.0,0.0,8.0,Personal Auto,Personal L2,Offer2,Branch,871.2,Sports Car,Medsize,3
Oregon,16172.94049,No,Basic,College,Employed,F,64388.0,Rural,Single,68.0,9.0,46.0,0.0,2.0,Personal Auto,Personal L3,Offer2,Branch,12.394834,Four-Door Car,Medsize,1
Oregon,2425.494812,No,Basic,College,Employed,M,66841.0,Rural,Divorced,62.0,4.0,73.0,0.0,1.0,Personal Auto,Personal L3,Offer4,Call Center,123.43663400000001,Four-Door Car,Medsize,2
Oregon,2899.317224,No,Basic,High School or Below,Employed,F,33738.0,Urban,Divorced,74.0,6.0,50.0,0.0,1.0,Corporate Auto,Corporate L1,Offer2,Agent,304.390472,Four-Door Car,Medsize,1
California,3633.05403,No,Extended,Bachelor,Employed,M,43334.0,Suburban,Married,95.0,3.0,72.0,0.0,1.0,Corporate Auto,Corporate L2,Offer4,Call Center,614.367195,Two-Door Car,Small,0
California,3457.154249,No,Extended,College,Unemployed,F,0.0,Urban,Married,91.0,13.0,89.0,0.0,1.0,Personal Auto,Personal L3,Offer3,Web,245.673365,Four-Door Car,Medsize,1
Nevada,3394.720301,No,Extended,College,Employed,F,83431.0,Suburban,Married,84.0,13.0,33.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Web,403.2,Four-Door Car,Medsize,1
Washington,3781.4548000000004,No,Extended,College,Employed,M,57647.0,Suburban,Married,94.0,3.0,98.99999999999999,0.0,1.0,Personal Auto,Personal L3,Offer1,Branch,451.2,Two-Door Car,Medsize,0
Oregon,5841.528134,No,Extended,Bachelor,Unemployed,M,0.0,Suburban,Divorced,79.0,17.0,4.0,0.0,3.0,Personal Auto,Personal L1,Offer1,Call Center,379.2,Four-Door Car,Large,2
California,5479.854218,No,Basic,High School or Below,Employed,M,38210.0,Suburban,Married,69.0,25.0,41.0,0.0,3.0,Personal Auto,Personal L2,Offer2,Agent,383.043363,Four-Door Car,Medsize,2
Nevada,16387.34622375,No,Basic,High School or Below,Unemployed,F,0.0,Suburban,Married,67.0,28.0,72.0,0.0,2.0,Personal Auto,Personal L3,Offer3,Agent,482.4,Four-Door Car,Large,1
